127.0.0.1 - - [07/Jun/2015:10:40:15 -0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Jun/2015:10:40:31 -0300] "GET /Economy/index.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:32 -0300] "GET /Economy/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [07/Jun/2015:10:40:44 -0300] "GET /Economy/index.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:45 -0300] "GET /Economy/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:51 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:51 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:40:51 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 200 1110
127.0.0.1 - - [07/Jun/2015:10:41:01 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [07/Jun/2015:10:41:10 -0300] "GET /Economy/ServletRelatory?dateStart=23/06/2014&dateEnd=22/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [07/Jun/2015:10:42:40 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:42:40 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:42:40 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:42:40 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:42:40 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:42:41 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [07/Jun/2015:10:43:09 -0300] "GET /Economy/ServletRelatory?dateStart=23/06/2014&dateEnd=23/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [07/Jun/2015:10:43:17 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:43:18 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:43:18 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:43:18 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:43:18 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2015:10:43:18 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
