127.0.0.1 - - [08/Jun/2015:18:24:54 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:55 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:56 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:56 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:57 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [08/Jun/2015:18:24:57 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:25:58 -0300] "GET /Economy/ServletRelatory?dateStart=11/06/2014&dateEnd=03/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:32:26 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:26 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:27 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:27 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:27 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:28 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:32:46 -0300] "GET /Economy/ServletRelatory?dateStart=03/06/2014&dateEnd=24/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:33:05 -0300] "GET /Economy/ServletRelatory?dateStart=8/5/2014&dateEnd=7/8/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:33:18 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:33:21 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:33:21 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:33:21 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:33:21 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:33:26 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:33:32 -0300] "GET /Economy/ServletRelatory?dateStart=8/5/2014&dateEnd=7/8/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:40:05 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:07 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:07 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:07 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:08 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 200 1195
127.0.0.1 - - [08/Jun/2015:18:40:15 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:40:23 -0300] "GET /Economy/ServletRelatory?dateStart=03/06/2014&dateEnd=29/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:40:47 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:40:54 -0300] "GET /Economy/ServletRelatory?dateStart=03/06/2014&dateEnd=08/06/2015&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:46:02 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
